A0JLT2,P35558
A5PLK6,P63096
A6NHP3,P06493
A6NIY4,P06493
A6NKU9,P06493
A6NLF2,Q13315
A6NLX3,P06493
A8MTJ3,Q7RTX0
A8MTJ3,Q8TE23
A8MTZ0,Q99705
A8MTZ0,Q99835
A9YTQ3,P04798
B9A064,P43405
NA,P42336
NA,P51692
NA,P27986
NA,Q06520
NA,P02647
NA,P50416
NA,Q02928
NA,O60656
NA,P01019
NA,P02652
NA,P48163
NA,P23786
NA,O95477
NA,P04798
NA,P13196
NA,Q07869
NA,Q16881
NA,P22888
NA,P01031
NA,P07357
NA,P07358
NA,P16234
NA,P09619
NA,P00533
NA,P10721
NA,P06213
NA,P01112
NA,Q13363
NA,P54760
NA,P15153
NA,P63000
NA,P12931
NA,P09769
NA,P07948
NA,P08631
NA,O00459
NA,P43403
NA,P42338
NA,P06239
NA,P06241
NA,O00329
NA,P23458
NA,P31785
NA,P00748
NA,Q99835
NA,P04049
NA,P63096
NA,P01308
NA,P41091
NA,P01100
NA,P05412
NA,P01106
NA,P42081
NA,P28482
NA,P25963
NA,P27361
NA,P14679
NA,P19634
NA,P01133
NA,Q01959
NA,P15056
NA,P14598
NA,P10398
NA,P42574
NA,O60733
NA,P42345
NA,Q9GZT9
NA,P19878
NA,Q15080
NA,Q14289
NA,Q96KS0
NA,P29475
NA,P00488
NA,P05160
NA,Q07954
NA,P13631
NA,P19793
NA,P17612
NA,P04150
NA,P10827
NA,P01574
NA,P60953
NA,P17252
NA,P05106
NA,Q96GD4
NA,P36873
NA,O15111
NA,O14920
NA,P43405
NA,P02649
NA,P38936
NA,P03372
NA,P12318
NA,P00747
NA,P02746
NA,P31994
NA,P12314
NA,P08588
NA,P02747
NA,P02745
NA,P09871
NA,Q13315
NA,O14746
NA,P24385
NA,P07288
NA,P07359
NA,P10415
NA,P05129
O00139,Q96GD4
O00139,P36873
O00141,P48048
O00168,P17612
O00206,P19838
O00206,Q9Y6Y9
O00206,P63000
O00206,O15111
O00220,P42574
O00221,O15111
O00221,O14920
O00238,P12644
O00238,P43026
O00254,P00734
O00267,P50613
O00267,Q13315
O00267,P50750
O00273,P42574
O00292,P01137
O00292,P36896
O00300,O14788
O00311,P56282
O00311,Q14181
O00311,Q07864
O00311,Q9NRF9
O00311,Q9NR33
O00327,P05121
O00327,Q07869
O00329,P36888
O00329,P15153
O00329,P04049
O00329,P09619
O00329,P35968
O00329,P10827
O00329,P43403
O00329,P00533
O00329,P10721
O00329,P06213
O00329,P49841
O00329,P06401
O00329,P06241
O00329,P63000
O00329,P42345
O00329,P12931
O00329,P43405
O00329,Q05513
O00329,Q9UM73
O00329,Q05655
O00329,P10828
O00329,P60953
O00329,P11362
O00329,Q08881
O00329,P01112
O00329,P04629
O00329,P31749
O00399,P04150
O00399,P06401
O00399,P07900
O00399,P08238
O00399,P10275
O00401,P60953
O00418,Q9Y478
O00418,O43741
O00418,P05129
O00418,Q9UGJ0
O00418,P13639
O00418,P54619
O00418,Q13131
O00418,P54646
O00418,Q9UGI9
O00418,P17252
O00459,P36888
O00459,P04049
O00459,P09619
O00459,P35968
O00459,P10827
O00459,P43403
O00459,P00533
O00459,P10721
O00459,P49841
O00459,P06401
O00459,P06241
O00459,P63000
O00459,P42345
O00459,P12931
O00459,P43405
O00459,Q05513
O00459,Q05655
O00459,P10828
O00459,P60953
O00459,P11362
O00459,Q08881
O00459,P01112
O00459,P04629
O00468,P63000
O00468,Q14289
O00468,P60953
O00555,P63000
O00763,Q9Y478
O00763,O43741
O00763,Q9UGJ0
O00763,P54619
O00763,Q13131
O00763,P54646
O00763,Q9UGI9
O14492,Q16620
O14492,P06213
O14492,P04629
O14497,P04150
O14497,P01574
O14508,P06213
O14511,P28482
O14511,P27361
O14511,P00533
O14511,P17252
O14543,P14784
O14543,P60568
O14543,P01579
O14543,P17181
O14543,P51692
O14543,P06213
O14543,P06239
O14543,P23458
O14543,P31785
O14543,P01589
O14543,P01574
O14576,P04150
O14576,Q96GD4
O14576,P06401
O14576,P07900
O14576,P36873
O14576,P08238
O14576,P10275
O14578,P62745
O14578,P63000
O14610,Q01668
O14610,P54284
